AIM_OF_USE,RESOURCE_TYPE,OS_HOSTNAME,OS_IP_ADDRESS,VM_GUESTNAME,LOGICALY_HOSTED_ON,CHASSIS_NAME,CONSOLE_IP,CONSOLE_ACCESS_PROTOCOL,OS_TYPE,OS_TOTAL_CORE,OS_MEM_GB,OS_RELEASE,DR_HOSTNAME,INSTALL_DATE,OS_CLUSTER,CLUSTER_SW_INFO,CLUSTER_SW_VERSION,CLUSTER_SERVICE_IP,VF_SERVICE_DOMAIN,VF_SERVICE_NAME,VF_SERVICE_CLASS,VF_SERVICE_OWNER,OS_ADMIN,BIA_IN_SCOPE,ROW_ID,INSERT_DATE,MANAGED_BY_IT,MAXIMO_OWNER_GROUP,LIFECYCLE,COMMENTS
DR,PHYSICAL,hknnar02,172.31.83.32,NA,mp-hknnar02,mp-hknnar02,172.31.87.133,ssh,HP-UX,16,96,B.11.31,,,NA,NO,NA,NA,IT,Billing Kenan,MC,Berkin Ucgul,Murat Cavli,,346,,yes,IT-INMNG,,
DR,LOGICAL,hknndr09,172.31.86.29,NA,CBU_A,CBU_A,172.31.87.140-172.31.87.141,ssh,HP-UX,32,192,B.11.31,,,yes,Veritas,SF RAC 6.0.2,172.31.86.122,IT,Billing Kenan,MC,Berkin Ucgul,Murat Cavli,,355,,yes,IT-INMNG,,
DR,LOGICAL,hknndr10,172.31.86.20,NA,CBU_B,CBU_B,172.31.87.144-172.31.87.145,ssh,HP-UX,32,192,B.11.31,,,yes,Veritas,SF RAC 6.0.2,172.31.86.123,IT,Billing Kenan,MC,Berkin Ucgul,Murat Cavli,,356,,yes,IT-INMNG,,
PROD,VIRTUAL,cdasrv,10.86.41.154,cdasrv,vmmern13,mp_vmmern13,10.86.41.156,hpvmconsole,HP-UX,16,192,B.11.31,,,NA,NO,NA,NA,IT,Mediation,Legacy,Hasan Bektas,Murat Cavli,,364,,yes,IT-MEDRIGT,,
TRANSFERRED,PHYSICAL,dbsrv,172.21.1.37,NA,mp-dbsrv,mp-dbsrv,172.21.1.42,telnet,HP-UX,NA,NA,B.11.00,,,NA,NO,NA,NA,IT,NA,Legacy,Selin Demirkiran,,,368,,no,IT-ERPMNG,,
TEST,VIRTUAL,hceydi21 ,172.31.70.157,hceydi21 ,mp-vmc,mp-vmh,172.31.70.195,hpvmconsole,HP-UX,10,40,B.11.31,,,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,390,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,hceyds01,172.31.70.148,hceyds01,ENC_C7000_B,mp_vmm,172.31.70.18,hpvmconsole,HP-UX,6,40,B.11.31,,,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,391,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,hceyds02,172.31.70.149,hceyds02,ENC_C7000_B,mp_vmo,172.31.70.17,hpvmconsole,HP-UX,6,16,B.11.31,,,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,392,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,hknnab01,172.31.70.165,hknnab01,ENC_C7000_B,mp_vmn,172.31.70.19,hpvmconsole,HP-UX,1,4,B.11.31,,,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,400,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,hknnai21,172.31.70.156,hknnai21,ENC_C7000_C,mp_vmk,172.31.70.22,hpvmconsole,HP-UX,1,4,B.11.31,,,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,404,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,hknnas01,172.31.70.144,hknnas01,ENC_C7000_B,mp_vmn,172.31.70.19,hpvmconsole,HP-UX,1,4,B.11.31,,,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,405,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,hknnzb01,172.31.70.164,hknnzb01,ENC_C7000_B,mp_vmo,172.31.70.17,hpvmconsole,HP-UX,2,8,B.11.31,,,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,408,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,hknnzi21 ,172.31.70.158,hknnzi21 ,ENC_C7000_D,mp_vmq,172.31.70.236,hpvmconsole,HP-UX,8,32,B.11.31,,,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,412,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,cknndd01,172.31.70.151,cknndd01,ENC_C7000_B,mp_vmn,172.31.70.19,hpvmconsole,HP-UX,4,12,B.11.31,,,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,428,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,hceydb01,172.31.70.166,hceydb01,ENC_C7000_C,mp_vmk,172.31.70.22,hpvmconsole,HP-UX,8,64,B.11.31,,,NA,NA,NA,NA,IT,Release Management,Genesis,Ertun Ucyildiz,Murat Cavli,No,434,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,jstd1,172.31.60.56,jstd1,ENC_C7000_D,mp_vmr,172.31.70.237,hpvmconsole,HP-UX,1,8,B.11.31,,,NA,NO,NA,NA,IT,NA,Legacy,Ertun Ucyildiz,Murat Cavli,,450,,yes,RELEASEMNGMNT,,
TEST,VIRTUAL,risk1t1,172.31.60.167,risk1t1,ENC_C7000_D,mp_vmr,172.31.70.237,hpvmconsole,HP-UX,2,8,B.11.31,,,NA,NA,NA,NA,IT,Release Management,Legacy,Ertun Ucyildiz,Murat Cavli,No,456,,yes,RELEASEMNGMNT,,
PROD,VIRTUAL,geofencep1,10.177.253.170,geofencep1,vascluster_tuzla,vascluster_tuzla,10.177.232.8,vsphere client,LINUX,16,64,rhel 6.10_x86_64,,,no,na,na,na,VAS,geo location,,Cuneyt Evran,Ozan Pekdemir,no,620,,yes,IT-VAS3RD,,
TEST,VIRTUAL,idmat1,172.30.39.10,idmat1,vfprod_clu_1,vfprod_clu_1,172.30.34.135,vsphere client,LINUX,2,16,rhel 6.10_x86_64,,,no,na,na,na,IT,idm test,,Ahmet Koylu,Onur Onan,no,632,,yes,IT-IO-MESSAGIN,,
TEST,VIRTUAL,idmat2,172.30.39.11,idmat2,vfprod_clu_1,vfprod_clu_1,172.30.34.135,vsphere client,LINUX,2,16,rhel 6.10_x86_64,,,no,na,na,na,IT,idm test,,Ahmet Koylu,Onur Onan,no,633,,yes,IT-IO-MESSAGIN,,
DEVELOPMENT,VIRTUAL,idmdbd1,172.30.35.177,idmdbd1,vfprod_clu_1,vfprod_clu_1,172.30.34.135,vsphere client,LINUX,4,16,rhel 6.10_x86_64,,,no,na,na,na,IT,development,,Ahmet Koylu,Eren Orhan,no,634,,yes,IT-IO-MESSAGIN,,
TEST,VIRTUAL,idmdt1,172.30.39.5,idmdt1,vfprod_clu_1,vfprod_clu_1,172.30.34.135,vsphere client,LINUX,2,16,rhel 6.10_x86_64,,,no,na,na,na,IT,idm test,,Ahmet Koylu,Onur Onan,no,637,,yes,IT-IO-MESSAGIN,,
DEVELOPMENT,VIRTUAL,idmoimd1,172.30.35.172,idmoimd1,vfprod_clu_1,vfprod_clu_1,172.30.34.135,vsphere client,LINUX,4,16,rhel 6.10_x86_64,,,no,na,na,na,IT,development,,Ahmet Koylu,Eren Orhan,no,640,,yes,IT-IO-MESSAGIN,,
TRANSFERRED,PHYSICAL,incuapp2,212.65.137.136,incuapp2,na,incuapp2,212.65.137.205,https,LINUX,0,0,rhel 5.4_x86_64,,,no,na,na,na,Oksijen,Oksijen,,Nuri Bukrek,,no,643,,no,,,
TRANSFERRED,PHYSICAL,incuweb1,212.65.137.133,incuweb1,na,incuweb1,212.65.137.202,https,LINUX,0,0,rhel 5.4_x86_64,,,no,na,na,na,Oksijen,Oksijen,,Nuri Bukrek,,no,644,,no,,,
TRANSFERRED,PHYSICAL,incuweb2,212.65.137.134,incuweb2,na,incuweb2,212.65.137.203,https,LINUX,0,0,rhel 5.4_x86_64,,,no,na,na,na,Oksijen,Oksijen,,Nuri Bukrek,,no,645,,no,,,
DR,PHYSICAL,jslpdr1,10.86.155.227  ,jslpdr1,na,jslpdr1,172.31.45.6,https,LINUX,32,128,rhel 6.6_x86_64,,,no,na,na,na,IT,appworks,,Timocin Apak,Eren Orhan,no,646,,yes,IT-SDEAM,,
PROD,PHYSICAL,meddbp2,10.86.255.83,meddbp2,na,meddbp2,10.86.2.23,https,LINUX,24,64,rhel 6.9_x86_64,,,yes,veritas,,,IT,mediation db server,,Mehmet Kurt,Rukiye Ozturk,no,717,,yes,IT-DATABASE,,
DR,PHYSICAL,meddbr1,10.86.129.234,meddbr1,na,meddbr1,172.31.45.129,https,LINUX,24,64,rhel 6.9_x86_64,,,no,na,na,na,IT,Mediation,,Mehmet Kurt,Rukiye Ozturk,no,718,,yes,IT-DATABASE,,
PROD,VIRTUAL,netlogp01,172.30.35.114,netlogp01,linuxprodcluster,linuxprodcluster,172.30.34.135,vsphere client,LINUX,2,8,rhel 7.6_x86_64,,,no,na,na,na,IT,network log server,,Dogan Kahraman,Murat Gokmen,no,759,,yes,IT-INMNG,,
TRANSFERRED,PHYSICAL,partapp1,212.65.137.151,partapp1,na,partapp1,212.65.137.208,https,LINUX,0,0,rhel 5.4_x86_64,,,no,na,na,na,Oksijen,Oksijen,,Nuri Bukrek,,no,782,,no,,,
TRANSFERRED,PHYSICAL,partapp2,212.65.137.152,partapp2,na,partapp2,212.65.137.209,https,LINUX,0,0,rhel 5.4_x86_64,,,no,na,na,na,Oksijen,Oksijen,,Nuri Bukrek,,no,783,,no,,,
TRANSFERRED,PHYSICAL,partweb1,212.65.137.149,partweb1,na,partweb1,212.65.137.206,https,LINUX,0,0,rhel 5.4_x86_64,,,no,na,na,na,Oksijen,Oksijen,,Nuri Bukrek,,no,784,,no,,,
TRANSFERRED,PHYSICAL,partweb2,212.65.137.150,partweb2,na,partweb2,212.65.137.207,https,LINUX,0,0,rhel 5.4_x86_64,,,no,na,na,na,Oksijen,Oksijen,,Nuri Bukrek,,no,785,,no,,,
PROD,PHYSICAL,vnnxtdp01,10.188.156.16,vnnxtdp01,vnnxtdp01,vnnxtdp01,10.10.30.62,https,LINUX,96,512,rhel 7.8_x86_64,,13-Jul-20,na,na,na,na,na,IT,na,Mehmet Kurt,Murat Sari,,820,13-Jul-20,yes,na,,
PROD,VIRTUAL,rpmproxy,172.31.60.225,rpmproxy,IzmEsxProd01,rpmproxy,172.30.34.135,vsphere client,LINUX,12,16,rhel 6.10_x86_64,,,no,na,na,na,IT,rpm repository,,Murat Yildirim,Ugur Gurel,no,824,,yes,IT-UNIX,,
PROD,VIRTUAL,san335p1,172.24.86.240,san335p1,EsyEsxDR01,EsyEsxDR01,10.86.14.60,vsphere client,LINUX,4,12,rhel 6.4_x64 ,,,no,na,na,na,Storage,san manager,,Bekir Hacibekir,,no,836,,no,IT-STORAGE,,
PROD,PHYSICAL,tksftp1,212.65.152.101,tksftp1,na,tksftp1,212.65.152.103,https,LINUX,0,0,rhel 5.5_x86_64,,,no,na,na,na,IT,tfpsftp-node1,,Zeynep Sever,,no,870,,no,IT-MEDRTC,,
PROD,PHYSICAL,tksftp2,212.65.152.102,tksftp2,na,tksftp2,212.65.152.104,https,LINUX,0,0,rhel 5.5_x86_64,,,no,na,na,na,IT,tfpsftp-node1,,Zeynep Sever,,no,871,,no,IT-MEDRTC,,
PROD,PHYSICAL,fnatizm01,10.178.255.138,fnatizm01,na,fnatizm01,172.31.42.201,https,LINUX,40,256,rhel 7.6_x86_64,,,no,na,na,na,IT,FIXED NAT,,Atilim Boy,Murat Cavli,no,,,yes,,,
PROD,VIRTUAL,cms1tasap01,10.150.51.5,cms1tasap01,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client,LINUX,6,16,rhel 7.9_x86_64,,6-Dec-18,no,,,,IT,CMS,,Cuneyt Evran,Ozan Pekdemir,,,6-Dec-18,yes,IT-VAS3RD,,
PROD,VIRTUAL,cms1tasap02,10.150.51.6,cms1tasap02,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client,LINUX,6,16,rhel 7.9_x86_64,,6-Dec-18,no,na,na,na,IT,CMS,,Cuneyt Evran,Ozan Pekdemir,no,,6-Dec-18,yes,IT-VAS3RD,,
PROD,VIRTUAL,cms1tasap03,10.150.51.7,cms1tasap03,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client,LINUX,6,16,rhel 7.9_x86_64,,6-Dec-18,no,na,na,na,IT,CMS,,Cuneyt Evran,Ozan Pekdemir,no,,6-Dec-18,yes,IT-VAS3RD,,
PROD,VIRTUAL,cms1tasap04,10.150.51.8,cms1tasap04,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client,LINUX,6,16,rhel 7.9_x86_64,,6-Dec-18,no,na,na,na,IT,CMS,,Cuneyt Evran,Ozan Pekdemir,no,,6-Dec-18,yes,IT-VAS3RD,,
PROD,VIRTUAL,cms1tasap05,10.150.51.9,cms1tasap05,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client,LINUX,6,16,rhel 7.9_x86_64,,6-Dec-18,no,na,na,na,IT,CMS,,Cuneyt Evran,Ozan Pekdemir,no,,6-Dec-18,yes,IT-VAS3RD,,
PROD,VIRTUAL,cms1tasap06,10.150.51.10,cms1tasap06,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client,LINUX,6,16,rhel 7.9_x86_64,,6-Dec-18,no,na,na,na,IT,CMS,,Cuneyt Evran,Ozan Pekdemir,no,,6-Dec-18,yes,IT-VAS3RD,,
PROD,VIRTUAL,cms1mmscap01,10.150.51.11,cms1mmscap01,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client,LINUX,8,16,rhel 7.9_x86_64,,6-Dec-18,no,na,na,na,IT,CMS,,Cuneyt Evran,Ozan Pekdemir,no,,6-Dec-18,yes,IT-VAS3RD,,
PROD,VIRTUAL,cms1mmscap02,10.150.51.12,cms1mmscap02,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client,LINUX,8,16,rhel 7.9_x86_64,,6-Dec-18,no,na,na,na,IT,CMS,,Cuneyt Evran,Ozan Pekdemir,no,,6-Dec-18,yes,IT-VAS3RD,,
PROD,VIRTUAL,cms1cmpfap01,10.150.51.13,cms1cmpfap01,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client,LINUX,8,24,rhel 7.9_x86_64,,6-Dec-18,no,na,na,na,IT,CMS,,Cuneyt Evran,Ozan Pekdemir,no,,6-Dec-18,yes,IT-VAS3RD,,
PROD,VIRTUAL,cms1cmpfap02,10.150.51.14,cms1cmpfap02,SMSC_IZM,SMSC_IZM,172.30.34.135,vsphere client,LINUX,8,24,rhel 7.9_x86_64,,6-Dec-18,no,na,na,na,IT,CMS,,Cuneyt Evran,Ozan Pekdemir,no,,6-Dec-18,yes,IT-VAS3RD,,
PROD,EXACELL,vfxccel01,10.86.4.73,vfxccel01,vfxc Exadata,vfxccel01,10.86.4.78,"ssh,https",LINUX,12,96,oel_7.7,,,no,na,na,na,IT,VFNET,,Selin Demirkiran,Ozan Pekdemir,,1048,,yes,IT-BIDWH,,
PROD,EXACELL,vfxccel02,10.86.4.74,vfxccel02,vfxc Exadata,vfxccel02,10.86.4.79,"ssh,https",LINUX,12,96,oel_7.7,,,no,na,na,na,IT,VFNET,,Selin Demirkiran,Ozan Pekdemir,,1049,,yes,IT-BIDWH,,
PROD,EXACELL,vfxccel03,10.86.4.75,vfxccel03,vfxc Exadata,vfxccel03,10.86.4.80,"ssh,https",LINUX,12,96,oel_7.7,,,no,na,na,na,IT,VFNET,,Selin Demirkiran,Ozan Pekdemir,,1050,,yes,IT-BIDWH,,
PROD,PHYSICAL,vfxcdb01,10.86.4.71,vfxcdb01,vfxc Exadata,vfxcdb01,10.86.4.76,"ssh,https",LINUX,24,256,oel_7.7,,,no,na,na,na,IT,VFNET,,Selin Demirkiran,Ozan Pekdemir,,1051,,yes,IT-BIDWH,,
PROD,PHYSICAL,vfxcdb02,10.86.4.72,vfxcdb02,vfxc Exadata,vfxcdb02,10.86.4.77,"ssh,https",LINUX,24,256,oel_7.7,,,no,na,na,na,IT,VFNET,,Selin Demirkiran,Ozan Pekdemir,,1052,,yes,IT-BIDWH,,
PROD,VIRTUAL,vlocateapp1,10.177.245.40,vlocateapp1,vascluster_tuzla,vascluster_tuzla,10.177.232.8,vsphere client,LINUX,2,8,rhel 8.8_x86_64,,20-Jun-14,no,na,na,na,VAS,VAS,,Cuneyt Evran,Ozan Pekdemir,no,1055,,yes,IT-VAS3RD,,
PROD,VIRTUAL,vlocateapp2,10.177.245.41,vlocateapp2,vascluster_tuzla,vascluster_tuzla,10.177.232.8,vsphere client,LINUX,2,8,rhel 8.8_x86_64,,20-Jun-14,no,na,na,na,VAS,VAS,,Cuneyt Evran,Ozan Pekdemir,no,1056,,yes,IT-VAS3RD,,
PROD,VIRTUAL,vsdf1ap1,10.177.243.41,vsdf1ap1,vascluster_tuzla,vascluster_tuzla,10.177.232.8,vsphere client,LINUX,8,24,rhel 6.9_x86_64,,,no,na,na,na,VAS,Virtual SDF,,Huseyin Saka,Saadet Dingec,no,1060,,yes,IT_SATIS_OPS,,
PROD,VIRTUAL,vsdf1ap2,10.177.243.42,vsdf1ap2,vascluster_tuzla,vascluster_tuzla,10.177.232.8,vsphere client,LINUX,8,24,rhel 6.9_x86_64,,,no,na,,,VAS,Virtual SDF,,Huseyin Saka,Saadet Dingec,no,1061,,yes,IT_SATIS_OPS,,
PROD,VIRTUAL,vsdf2ap1,10.177.243.43,vsdf2ap1,vascluster_tuzla,vascluster_tuzla,10.177.232.8,vsphere client,LINUX,8,24,rhel 6.9_x86_64,,,no,na,,,VAS,Virtual SDF,,Huseyin Saka,Saadet Dingec,no,1062,,yes,IT-VAS3RD,,
PROD,VIRTUAL,vsdf2ap2,10.177.243.44,vsdf2ap2,vascluster_tuzla,vascluster_tuzla,10.177.232.8,vsphere client,LINUX,8,16,rhel 6.9_x86_64,,,no,na,,,VAS,Virtual SDF,,Huseyin Saka,Saadet Dingec,no,1063,,yes,IT-VAS3RD,,
PROD,VIRTUAL,vsdf6ap1,10.177.243.71,vsdf6ap1,vascluster_tuzla,vascluster_tuzla,10.177.232.8,vsphere client,LINUX,8,32,rhel 6.10_x86_64,,,no,na,,,VAS,Virtual SDF,,Huseyin Saka,Saadet Dingec,no,1070,,yes,IT_SATIS_OPS,,
PROD,VIRTUAL,vsdf6ap2,10.177.243.72,vsdf6ap2,vascluster_tuzla,vascluster_tuzla,10.177.232.8,vsphere client,LINUX,8,32,rhel 6.10_x86_64,,,no,na,,,VAS,Virtual SDF,,Huseyin Saka,Saadet Dingec,no,1071,,yes,IT_SATIS_OPS,,
PROD,VIRTUAL,btkwebp1,10.86.30.121,btkwep1,EsyEsxProd_Linux,EsyEsxProd_Linux,10.86.14.60,vsphere client,LINUX,4,3,rhel 6.9_x86_64,,,no,na,,,IT,BTK WEB SERVER,,Yigit Aslan,Murat Cavli,no,1091,,yes,IT-VASONLINE,,
PROD,PHYSICAL,btk,192.168.202.8,btk,na,btk,172.31.45.147/192.168.202.9,https,LINUX,24,64,rhel 6.5_x86_64,,,no,na,,,VAS,BTK,,Atila Voyvat,,,1108,,no,,,
TEST,PHYSICAL,linuxtest1,10.86.128.232,linuxtest1,na,linuxtest1,172.31.45.145,https,LINUX,32,256,rhel 7.6_x86_64,,,no,,,,IT,UNIX,,Murat Yildirim,Ugur Gurel,,1110,,yes,IT-UNIX,,
PROD,VIRTUAL,vsdf7ap1,10.177.243.73,vsdf7ap1,vascluster_tuzla,vascluster_tuzla,10.177.232.8,vsphere client,LINUX,8,16,rhel 6.9_x86_64,,,no,na,,,VAS,Virtual SDF,,Huseyin Saka,Saadet Dingec,no,1114,,yes,IT_SATIS_OPS,,
PROD,VIRTUAL,vsdf7ap2,10.177.243.74,vsdf7ap2,vascluster_tuzla,vascluster_tuzla,10.177.232.8,vsphere client,LINUX,8,16,rhel 6.9_x86_64,,,no,na,,,VAS,Virtual SDF,,Huseyin Saka,Saadet Dingec,no,1115,,yes,IT_SATIS_OPS,,
PREPROD,VIRTUAL,bpmax1,10.86.129.6,bpmax1,bpmldm3,bpmldm3,172.31.45.120:5002,vcc,SOLARIS,16,120,11.4s,,30-May-14,no,,,,IT,bpm,,Ertun Ucyildiz,Murat Gokmen,,1515,,yes,RELEASEMNGMNT,,
PREPROD,VIRTUAL,bpmax2,10.86.129.8,bpmax2,bpmldm4,bpmldm4,172.31.45.122:5002,vcc,SOLARIS,16,120,11.4s,,30-May-14,no,,,,IT,bpm,,Ertun Ucyildiz,Murat Gokmen,,1516,,yes,RELEASEMNGMNT,,
PREPROD,VIRTUAL,bpmdx1,10.86.129.5,bpmdx1,bpmldm3,bpmldm3,172.31.45.120:5001,vcc,SOLARIS,16,120,11.1s,,30-May-14,yes,SFRAC,6.1.0.0,10.86.129.5,IT,bpm,,Ertun Ucyildiz,Murat Gokmen,,1521,,yes,RELEASEMNGMNT,,
PREPROD,VIRTUAL,bpmdx2,10.86.129.7,bpmdx2,bpmldm4,bpmldm4,172.31.45.122:5001,vcc,SOLARIS,16,120,11.1s,,30-May-14,yes,SFRAC,6.1.0.0,10.86.129.7,IT,bpm,,Ertun Ucyildiz,Murat Gokmen,,1522,,yes,RELEASEMNGMNT,,
PREPROD,PHYSICAL,bpmldm3,172.31.45.120,na,na,bpmldm3,172.31.45.121,ssh,SOLARIS,1,15,11.4s,,30-May-14,no,,,,IT,bpm,,Ertun Ucyildiz,Murat Gokmen,,1525,,yes,RELEASEMNGMNT,,
PREPROD,PHYSICAL,bpmldm4,172.31.45.122,na,na,bpmldm4,172.31.45.123,ssh,SOLARIS,1,15,11.4s,,30-May-14,no,,,,IT,bpm,,Ertun Ucyildiz,Murat Gokmen,,1526,,yes,RELEASEMNGMNT,,
DEVELOPMENT,PHYSICAL,bpmldm5,172.31.45.124,na,na,bpmldm5,172.31.45.125,ssh,SOLARIS,1,15,11.4s,,30-May-14,no,,,,IT,bpm,,Ertun Ucyildiz,Murat Gokmen,,1527,,yes,RELEASEMNGMNT,,
PROD,PHYSICAL,dcca3app1,10.162.116.10,na,na,dcca3app1,10.162.118.20,ssh,SOLARIS,16,32,10s,,,yes,Solaris Cluster,3.3,,IN,SSM,MC,Dogan Kahraman,Murat Gokmen,Yes,1594,,yes,IT-INMNG,,
PROD,PHYSICAL,dcca3app2,10.162.116.11,na,na,dcca3app2,10.162.118.21,ssh,SOLARIS,16,32,10s,,,yes,Solaris Cluster,3.3,,IN,SSM,MC,Dogan Kahraman,Murat Gokmen,Yes,1595,,yes,IT-INMNG,,
PROD,VIRTUAL,hasmpp1-app1,212.65.133.104 ,zonecl1,msgapp1,msgapp1,212.65.133.102,zlogin,SOLARIS,999,999,10x,,,no,,,,VAS,SMPPGW,MC,Cuneyt Evran,Ozan Pekdemir,ISO27001,1645,,yes,IT-VAS3RD,,
